Location,Time,Direction,VehicleType,Speed
Pori,2018-04-01 00:24:53,2,passenger_car,100
Pori,2018-04-01 00:24:57,1,passenger_car,109
Pori,2018-04-01 00:25:00,2,passenger_car,103
Karkkila,2018-04-01 00:25:10,1,passenger_car,84
Nakkila,2018-04-01 00:25:23,1,passenger_car,68
Pori,2018-04-01 00:25:36,2,passenger_car,95
Nakkila,2018-04-01 00:25:44,2,passenger_car,79
Vihti,2018-04-01 00:25:44,1,passenger_car,92
Nakkila,2018-04-01 00:25:46,1,passenger_car,80
Vihti,2018-04-01 00:25:47,1,passenger_car,103
Pori,2018-04-01 00:25:55,2,passenger_car,99
Pori,2018-04-01 00:26:24,2,passenger_car,106
Pori,2018-04-01 00:26:26,2,passenger_car,93
Pori,2018-04-01 00:26:33,2,passenger_car,104
Pori,2018-04-01 00:26:34,2,passenger_car,105
Nakkila,2018-04-01 00:26:51,1,bus,74
Vihti,2018-04-01 00:26:53,1,passenger_car,107
Nakkila,2018-04-01 00:26:57,1,passenger_car,81
Nakkila,2018-04-01 00:27:17,1,passenger_car,76
Pori,2018-04-01 00:27:31,2,passenger_car,101
Pori,2018-04-01 00:27:50,1,passenger_car,109
Nakkila,2018-04-01 00:27:56,1,passenger_car,77
Nakkila,2018-04-01 00:27:59,1,passenger_car,78
Nakkila,2018-04-01 00:28:15,2,passenger_car,81
Nakkila,2018-04-01 00:28:16,2,passenger_car,82
Nakkila,2018-04-01 00:28:18,2,truck,81
Pori,2018-04-01 00:28:26,1,passenger_car,110
Pori,2018-04-01 00:28:30,1,"passenger_car, trailer",87
Pori,2018-04-01 00:28:40,1,passenger_car,98
Vihti,2018-04-01 00:28:44,1,passenger_car,99
Pori,2018-04-01 00:28:47,1,passenger_car,99
Nakkila,2018-04-01 00:28:52,1,passenger_car,75
Pori,2018-04-01 00:29:05,2,passenger_car,107
Pori,2018-04-01 00:29:15,1,passenger_car,116
Pori,2018-04-01 00:29:19,2,passenger_car,117
Nakkila,2018-04-01 00:30:00,1,passenger_car,67
Pori,2018-04-01 00:30:13,1,passenger_car,104
Nakkila,2018-04-01 00:30:32,1,passenger_car,88
